Asin,Brand,Title,price,keywords,protection_plans,variants,categories,Bestsellers_rank,Rating,Ratings_total,weight,Dimensions,Bundles,Frequently_bought_together,Newer_model,Connectivity_Technology,Printing_Technology,Special_Feature,Color,Printer_Output,Maximum_Print_Speed_Color,Max_Printspeed_Monochrome,Controller_Type
B08HV3MPFD,Phomemo,"Phomemo D30 Label Maker Machine, Portable Bluetooth Mini Label Printer, Smart Phone Handheld Thermal Sticker Small Labeler Multiple Templates Font Icon Inkless for Home Office Green",23.98,23,,5,Office Products,28,4.3,16732,160 Grams,5.12 x 3.15 x 1.97 inches,10,2,yes,Bluetooth,Thermal,"Portable, Scan To E-Mail",Green,Monochrome,60 ppm,60 ppm,
B0CPYDNS98,QYCHHJ,"QYCHHJ Inkless Mini Printer for iPhone/Android/Tablet, Bluetooth Mini Thermal Printer with 8 Rolls Thermal Paper, Portable Sticker Printer for Study Notes Journal Memo Photo Picture, Black",24.99,23,,2,Electronics,100248,4.4,18,13.7 ounces,"1.5""D x 3""W x 1.5""H",0,2,No,Bluetooth,Thermal,Lightweight,Black,1,1,1,
B09BFMZ7FT,Ponek,"T02 Mini Printer Receipt Printers, Portable Pocket Thermal Point-of-Sale (POS) Equipment - Bluetooth Thermal Mini Printer for Sticky Scrapbook Yellow 1 Printer + 1 Roll Paper",29.99,16,,8,Electronics,6473,4.2,1173,150 Grams,"1.4""D x 3.3""W x 3.3""H",6,0,No,Bluetooth,Thermal,Portable,Yellow,Monochrome, ,"1.4""D x 3.3""W x 3.3""H",
B0CKXJGBT3,POLONO,"POLONO P31S Label Maker Machine with Tape, Portable Thermal Printer, Portable Bluetooth Label Printer for Organizing Storage Office Home, Sticker Maker Mini Label Maker with Multiple Templates, White",29.99,27,,5,Electronics,281,4.7,130,‎7.8 ounces,"1.89""D x 4.5""W x 6.5""H",13,2,No,Bluetooth,Thermal,"Portable, Clear Printing, Easy to Use, Rechargeable, Wireless, Inkless, Text, QR code, Barcode, Materials, Images, Time and Borders See more",White,Monochrome, ,"1.89""D x 4.5""W x 6.5""H",
B0CG1BD6H2,Simple Trending,"3 Tier Mobile Wooden Printer Stand, Multi-Purpose Office Organizer for Fax Machine, Files, Books, Black",36.97,12,2,,Electronics,38193,4.6,31,10.63 pounds,17 x 11.75 x 29.25 inches,0,2,No,Black, ,Wood,Black, , ,,
B07MJ918TJ,Aproca,Aproca Hard Travel Storage Case Fit HP OfficeJet 250 All-in-One Portable Printer Wireless Mobile Printing CZ992A (Black), ,14,,1,All Departments,0,4.4,164, , ,0,2,No,Black, ,Case,Black, , ,,
B07BC4PNCJ, ,Hawkeye and the Last of the Mohicans, ,3,,,Prime Video,0, , , , ,0,0,No, , , , , , ,,
B00WJDWGA8,HP,"HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",50.89,23,,2,Office Products,49,4.7,50699,‎0.176 ounces,‎4 x 1 x 10 inches,0,0,No,HP, ,430, ,OEM, ,"HP OfficeJet 3830, HP DeskJet 3630, HP OfficeJet 5255",
B07RJTZ4M6, ,Desktop Thermal Printer Set Up, ,3,,,All Departments,0, , , , ,0,0,No, , , , , , ,,
B0CNRS4Y2Z,EaseFusion,260XL 261XL Replacement for Canon 260 and 261 Ink Cartridges PG-260 CL-261 Compatible with Canon Pixma TS6420a TS6420 TR7020a TS5300 TS5320 TR7020 Printer Ink Cartridges,52.99,19,1,,Electronics,44853,4.9,20,5.3 ounces,5.12 x 2.75 x 1.49 inches,0,0,No,EaseFusion, ,700, ,"Remanufactured, Compatible", ,,
