Asin,Brand,Title,Price,keywords,Categories,Bestsellers_rank,Rating,Ratings_total,Bundles,Frequently_bought_together,Newer_model,Color,Connectivity_Technology,Printing_Technology,Printer_Output,Maximum_Print_Speed_Color,Weight,Depth,Width,Height,Special_Feature,TotalNo_Special_Feature
B08HV3MPFD,Phomemo,Phomemo D30 Label Maker Machine  Portable Bluetooth Mini Label Printer  Smart Phone Handheld Thermal Sticker Small Labeler Multiple Templates Font Icon Inkless for Home Office Green,23.98,23,Office Products,28,4.3,16732,10,2,1,green,bluetooth,Thermal,Color,60,160,5.12,3.15,1.97,"['Portable', ' Scan To Email']",2
B0CPYDNS98,QYCHHJ,QYCHHJ Inkless Mini Printer for iPhone Android Tablet  Bluetooth Mini Thermal Printer with 8 Rolls Thermal Paper  Portable Sticker Printer for Study Notes Journal Memo Photo Picture  Black,24.99,23,Electronics,100248,4.4,18,0,2,0,black,bluetooth,Thermal,Color,1,388.395,0.59,1.18,0.59,['Lightweight'],1
B09BFMZ7FT,Ponek,T02 Mini Printer Receipt Printers  Portable Pocket Thermal Point of Sale  POS  Equipment   Bluetooth Thermal Mini Printer for Sticky Scrapbook Yellow 1 Printer   1 Roll Paper,29.99,16,Electronics,6473,4.2,1173,6,0,0,yellow,bluetooth,Thermal,Color,0,150,0.55,1.3,1.3,['Portable'],1
B0CKXJGBT3,POLONO,POLONO P31S Label Maker Machine with Tape  Portable Thermal Printer  Portable Bluetooth Label Printer for Organizing Storage Office Home  Sticker Maker Mini Label Maker with Multiple Templates  White,29.99,27,Electronics,281,4.7,130,13,2,0,white,bluetooth,Thermal,Color,0,221.13,0.74,1.77,2.56,"['Portable', ' Clear Printing', ' Easy to Use', ' Rechargeable', ' Wireless', ' Inkless', ' Text', ' QR code', ' Barcode', ' Materials', ' Images', ' Time and Borders See more']",12
B0CG1BD6H2,Simple Trending,3 Tier Mobile Wooden Printer Stand  Multi Purpose Office Organizer for Fax Machine  Files  Books  Black,36.97,12,Electronics,38193,4.6,31,0,2,0,black,bluetooth,other,Color,0,4821.768,17,11.75,29.25,['Wood'],1
B07MJ918TJ,Aproca,Aproca Hard Travel Storage Case Fit HP OfficeJet 250 All in One Portable Printer Wireless Mobile Printing CZ992A  Black ,93.17,14,All Departments,0,4.4,164,0,2,0,black,bluetooth,other,Color,0,0,7.839467456,7.963402367,5.807751479,['Case'],1
B00WJDWGA8,HP,HP 63XL Black High yield Ink Cartridge   Works with HP DeskJet 1112  2130  3630 Series  HP ENVY 4510  4520 Series  HP OfficeJet 3830  4650  5200 Series   Eligible for Instant Ink   F6U64AN,50.89,23,Office Products,49,4.7,50699,0,0,0,white,bluetooth,Inkjet,Color,0,4.9896,4,1,10,['430'],1
B0CNRS4Y2Z,EaseFusion,260XL 261XL Replacement for Canon 260 and 261 Ink Cartridges PG 260 CL 261 Compatible with Canon Pixma TS6420a TS6420 TR7020a TS5300 TS5320 TR7020 Printer Ink Cartridges,52.99,19,Electronics,44853,4.9,20,0,0,0,other,bluetooth,other,Color,0,150.255,5.12,2.75,1.49,['700'],1
B01B6QGJ42,HP,HP 952XL Black High yield Ink Cartridge   Works with HP OfficeJet 8702  HP OfficeJet Pro 7720  7740  8210  8710  8720  8730  8740 Series   Eligible for Instant Ink   F6U19AN,57.89,20,Office Products,159,4.7,15827,0,0,0,white,bluetooth,Inkjet,Color,0,104.328,4,1,10,['2000'],1
B00WR23VRI,HP,HP 63 Black Tri color Ink  2 pack    Works with HP DeskJet 1112  2130  3630 Series  HP ENVY 4510  4520 Series  HP OfficeJet 3830  4650  5200 Series   Eligible for Instant Ink   L0R46AN,54.89,21,Office Products,72,4.7,41758,0,0,0,white,bluetooth,Inkjet,Color,0,90.72,4,1,10,['170'],1
